Started Training CB and IGL on Sat Aug 14 20:28:51 UTC 2021.
Saving to ../notes/result_2021-08-14_20:28:51.dat
|: -----------------------------------------------------------------------------------------------------:|
|Filename	|	Num Examples	|	CB Loss|IGL Loss	|	IGL Flipped Sign Loss|
ds_1539_5.vw.gz 		9172	0.978195	0.978849	0.091910	
ds_1540_5.vw.gz 		9285	0.976521	0.979214	0.093269	
ds_1541_5.vw.gz 		8654	0.977467	0.978969	0.095216	
ds_1542_5.vw.gz 		1183	0.973795	0.974641	0.120879	
ds_1543_5.vw.gz 		1080	0.965741	0.977778	0.127778	
ds_1544_5.vw.gz 		1277	0.974941	0.971026	0.123727	
ds_1545_5.vw.gz 		1252	0.972843	0.976038	0.120607	
ds_1546_5.vw.gz 		1112	0.968525	0.979317	0.132194	
ds_1548_3.vw.gz 		2500	0.805600	0.794400	0.592400	
ds_1549_8.vw.gz 		750	0.880000	0.857333	0.849333	
ds_154_10.vw.gz 		1000000	0.952742	0.951433	0.867711	
ds_1551_8.vw.gz 		400	0.822500	0.870000	0.895000	
ds_1552_5.vw.gz 		1100	0.800909	0.790909	0.782727	
ds_1553_3.vw.gz 		700	0.664286	0.665714	0.660000	
ds_1554_5.vw.gz 		500	0.870000	0.764000	0.672000	
ds_1555_8.vw.gz 		1000	0.893000	0.866000	0.853000	
ds_1557_3.vw.gz 		4177	0.806320	0.803687	0.538904	
ds_155_10.vw.gz 		829201	0.994808	0.994756	0.552316	
ds_156_5.vw.gz 		1000000	0.881762	0.881626	0.737686	
ds_157_5.vw.gz 		1000000	0.884218	0.884968	0.734405	
ds_158_5.vw.gz 		1000000	0.885011	0.885028	0.735381	
ds_159_5.vw.gz 		1000000	0.871148	0.871218	0.742759	
ds_160_5.vw.gz 		1000000	0.871634	0.872113	0.745685	
ds_163_3.vw.gz 		32	0.656250	0.718750	0.781250	
ds_16_10.vw.gz 		2000	0.918500	0.917500	0.942500	
ds_171_22.vw.gz 		339	0.973451	0.952802	0.946903	
ds_180_7.vw.gz 		110393	0.979156	0.978223	0.472856	
ds_181_10.vw.gz 		1484	0.971698	0.954178	0.884097	
ds_182_6.vw.gz 		6430	0.909642	0.932193	0.664386	
ds_183_29.vw.gz 		4177	0.996169	0.941824	0.945894	
ds_184_18.vw.gz 		28056	0.987703	0.985992	0.887974	
ds_185_3.vw.gz 		1340	0.947015	0.947015	0.129104	
ds_186_7.vw.gz 		412	0.980583	0.973301	0.269417	
ds_187_3.vw.gz 		178	0.634831	0.758427	0.786517	
ds_188_5.vw.gz 		736	0.845109	0.816576	0.709239	
ds_18_10.vw.gz 		2000	0.970000	0.887000	0.925500	
ds_20_2.vw.gz 		768	0.553385	0.527344	0.498698	
