Started Training CB and IGL on Wed Aug 18 02:05:45 UTC 2021.
Saving to ../notes/result_2021-08-18_02:05:45.dat
|: -----------------------------------------------------------------------------------------------------:|
|Filename	|	Num Examples	|	CB Loss|IGL Loss	|	IGL Flipped Sign Loss|
ds_171_22.vw.gz 		339	0.952802	0.890855	0.955752	
ds_180_7.vw.gz 		110393	0.476181	0.477666	0.475130	
ds_181_10.vw.gz 		1484	0.739218	0.741914	0.750000	
ds_182_6.vw.gz 		6430	0.700622	0.909642	0.909020	
ds_183_29.vw.gz 		4177	0.895619	0.952837	0.950443	
ds_184_18.vw.gz 		28056	0.885016	0.987311	0.988309	
ds_185_3.vw.gz 		1340	0.128358	0.128358	0.128358	
ds_186_7.vw.gz 		412	0.269417	0.269417	0.269417	
ds_187_3.vw.gz 		178	0.612360	0.634831	0.646067	
ds_188_5.vw.gz 		736	0.676630	0.842391	0.843750	
ds_18_10.vw.gz 		2000	0.863000	0.925500	0.946500	
ds_20_2.vw.gz 		768	0.444010	0.444010	0.444010	
ds_22_10.vw.gz 		2000	0.890500	0.900000	0.904000	
ds_23_3.vw.gz 		1473	0.598778	0.622539	0.621860	
ds_244_6.vw.gz 		1000000	0.267142	0.266969	0.267085	
ds_245_6.vw.gz 		1000000	0.267594	0.267288	0.267135	
ds_247_26.vw.gz 		1000000	0.960450	0.963999	0.960173	
ds_248_7.vw.gz 		1000000	0.655478	0.656094	0.659150	
ds_249_4.vw.gz 		1000000	0.319188	0.319480	0.319482	
ds_250_10.vw.gz 		1000000	0.769285	0.820526	0.770542	
ds_252_10.vw.gz 		1000000	0.768592	0.768090	0.766347	
ds_253_6.vw.gz 		1000000	0.507327	0.508776	0.508525	
ds_254_10.vw.gz 		1000000	0.820531	0.905622	0.818093	
ds_255_3.vw.gz 		55296	0.592249	0.749439	0.716146	
ds_259_5.vw.gz 		295245	0.136541	0.136541	0.136541	
ds_261_10.vw.gz 		1000000	0.881254	0.953266	0.955705	
ds_263_6.vw.gz 		1000000	0.273634	0.275083	0.274480	
